Tube.ID,Tube lable ,Date,Location,colony_id,Species,Fixative,Goal,Process,TREATMENT,Note,Slury.vol.ml,,
224,116,20261402,Papagayo,POC_28,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
225,117,20261402,Papagayo,POC_29,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
226,117,20261402,Papagayo,POC_29,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
227,118,20261402,Papagayo,POC_30,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
228,118,20261402,Papagayo,POR_30,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
229,119,20261402,Papagayo,POR_31,Porites lobata,500um RNA/DNA shield,16S,,,,,,
230,119,20261402,Papagayo,POR_31,Porites lobata,500um RNA/DNA shield,16S,,,,,,
231,120,20261402,Papagayo,POR_32,Porites lobata,500um RNA/DNA shield,16S,,,,,,
232,120,20261402,Papagayo,POR_32,Porites lobata,500um RNA/DNA shield,16S,,,,,,
233,121,20261402,Papagayo,POR_33,Porites lobata,500um RNA/DNA shield,16S,,,,,,
234,121,20261402,Papagayo,POR_33,Porites lobata,500um RNA/DNA shield,16S,,,,,,
235,122,20261402,Papagayo,POR_34,Porites lobata,500um RNA/DNA shield,16S,,,,,,
236,122,20261402,Papagayo,POR_34,Porites lobata,500um RNA/DNA shield,16S,,,,,,
237,123,20261402,Papagayo,POR_35,Porites lobata,500um RNA/DNA shield,16S,,,,,,
238,123,20261402,Papagayo,POR_35,Porites lobata,500um RNA/DNA shield,16S,,,,,,
239,124,20261402,Papagayo,POR_36,Porites lobata,500um RNA/DNA shield,16S,,,,,,
240,124,20261402,Papagayo,POR_36,Porites lobata,500um RNA/DNA shield,16S,,,,,,
241,125,20261402,Papagayo,POR_37,Porites lobata,500um RNA/DNA shield,16S,,,,,,
242,125,20261402,Papagayo,POR_37,Porites lobata,500um RNA/DNA shield,16S,,,,,,
243,126,20261402,Papagayo,POR_38,Porites lobata,500um RNA/DNA shield,16S,,,,,,
244,126,20261402,Papagayo,POR_38,Porites lobata,500um RNA/DNA shield,16S,,,,,,
245,127,20261402,Papagayo,POR_39,Porites lobata,500um RNA/DNA shield,16S,,,,,,
246,127,20261402,Papagayo,POR_39,Porites lobata,500um RNA/DNA shield,16S,,,,,,
247,128,20261402,Papagayo,POR_40,Porites lobata,500um RNA/DNA shield,16S,,,,,,
248,128,20261402,Papagayo,POR_40,Porites lobata,500um RNA/DNA shield,16S,,,,,,
249,129,20261402,Papagayo,POC_21,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
250,129,20261402,Papagayo,POC_21,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
251,130,20261402,Papagayo,POC_22,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
252,130,20261402,Papagayo,POC_22,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
253,131,20261402,Papagayo,POC_23,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
254,131,20261402,Papagayo,POC_23,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
255,132,20261402,Papagayo,POC_24,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
256,132,20261402,Papagayo,POC_24,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
257,133,20261402,Papagayo,POC_25,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
258,133,20261402,Papagayo,POC_25,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
259,134,20261402,Papagayo,POC_26,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
260,134,20261402,Papagayo,POR_26,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
261,135,20261402,Papagayo,POC_27,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
262,135,20261402,Papagayo,POC_27,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
263,136,20261402,Papagayo,POC_28,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
264,136,20261402,Papagayo,POC_28,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
265,137,20261402,Papagayo,POC_29,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
266,137,20261402,Papagayo,POC_29,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
267,138,20261402,Papagayo,POC_30,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
268,138,20261402,Papagayo,POR_30,Pocillopora capitata,-20,Physiology,Air Brush,,,4,,
269,139,20261402,Papagayo,POR_31,Porites lobata,-20,Physiology,Air Brush,,,4,,
270,139,20261402,Papagayo,POR_31,Porites lobata,-20,Physiology,Air Brush,,,4,,
271,140,20261402,Papagayo,POR_32,Porites lobata,-20,Physiology,Air Brush,,,4,,
272,140,20261402,Papagayo,POR_32,Porites lobata,-20,Physiology,Air Brush,,,4,,
273,141,20261402,Papagayo,POR_33,Porites lobata,-20,Physiology,Air Brush,,,4,,
274,141,20261402,Papagayo,POR_33,Porites lobata,-20,Physiology,Air Brush,,,4,,
275,142,20261402,Papagayo,POR_34,Porites lobata,-20,Physiology,Air Brush,,,4,,
276,142,20261402,Papagayo,POR_34,Porites lobata,-20,Physiology,Air Brush,,,4,,
277,143,20261402,Papagayo,POR_35,Porites lobata,-20,Physiology,Air Brush,,,4,,
278,143,20261402,Papagayo,POR_35,Porites lobata,-20,Physiology,Air Brush,,,4,,
279,144,20261402,Papagayo,POR_36,Porites lobata,-20,Physiology,Air Brush,,,4,,
280,144,20261402,Papagayo,POR_36,Porites lobata,-20,Physiology,Air Brush,,,4,,
