,...1,Species,Colony,Site,Temp,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
76,6,Poccilopora,POC_22,Papagayo,22,20260217.01,2/17/2026,35019,511.6,-0.3,21.5,16.89,170.1,293.3,123.2,0.42,290.1,0.3,0.63,362,0.18,2645,0.19,145638,--------,-------,865,29074,400,358.3,380.8,22.5,0.059,146,0.15,0.099,613,0.017,16877,0.885,16979,--------,-------,15334,15360,65.2
77,7,Poccilopora,POC_29,Papagayo,22,20260217.01,2/17/2026,35049,598.7,-0.2,21.5,16.88,160.6,253,92.5,0.365,287.4,0.25,0.59,373,0.19,2465,0.23,162295,--------,-------,880,37246,400,307.1,319.9,12.7,0.04,155.8,0.01,0.162,264,0.824,16960,0.014,39018,--------,-------,14211,14558,70.4
78,8,Poccilopora,POC_23,Papagayo,22,20260217.01,2/17/2026,35083,554.3,-0.3,21.5,16.87,148.6,216.7,68.1,0.314,260.8,0.21,0.53,394,0.19,2513,0.27,151286,--------,-------,956,42067,500,229.9,240.9,11.1,0.046,153.6,0.12,0.164,604,0.823,18422,0.013,19252,--------,-------,15469,15519,64.6
79,9,Poccilopora,POC_21,Papagayo,22,20260217.01,2/17/2026,35147,544.3,-0.3,21.5,16.85,128.4,204.8,76.4,0.373,249.7,0.33,0.58,363,0.17,2264,0.25,123780,--------,-------,791,31838,500,231.3,246,14.8,0.06,147.8,0.21,0.125,463,0.863,18685,0.012,20021,--------,-------,16380,16423,61.1
80,10,Poccilopora,POC_30,Papagayo,22,20260217.01,2/17/2026,35182,445.8,-0.3,21.6,16.82,181.3,308.3,127,0.412,323.8,0.23,0.59,430,0.2,2517,0.2,143394,--------,-------,963,29683,400,371.1,393.8,22.7,0.058,150.8,0.04,0.132,614,0.853,18244,0.015,18248,--------,-------,15881,15916,63
81,11,Porites,POR_33,Papagayo,25,20260217.01,2/17/2026,38245,785.7,-0.3,22.7,16.86,117.2,190.4,73.2,0.384,229.7,0.3,0.63,420,0.17,3655,0.19,207149,--------,-------,1107,41076,500,230.7,240.7,9.9,0.041,158.8,0,0.025,564,0.933,18520,0.042,50854,--------,-------,18049,19436,55.4
82,12,Porites,POC_40,Papagayo,25,20260217.01,2/17/2026,38302,550,-0.2,22.7,16.83,211.7,367.4,155.6,0.424,290.5,0.24,0.61,437,0.2,2433,0.19,112809,--------,-------,924,21898,300,398.8,426.2,27.4,0.064,153,0.1,0.164,416,0.823,20243,0.012,25898,--------,-------,16946,17057,59
83,13,Porites,POR_32,Papagayo,25,20260217.01,2/17/2026,38349,824.9,-0.3,22.7,16.8,134.5,215.8,81.3,0.377,249.5,0.32,0.64,404,0.16,2465,0.2,173189,--------,-------,825,35255,500,249.2,273,23.7,0.087,177.3,0.37,0.834,32,0.148,17921,0.018,35091,--------,-------,2728,3313,366.6
84,14,Porites,POR_37,Papagayo,25,20260217.01,2/17/2026,38388,577.4,-0.3,22.8,16.79,230.4,405.1,174.6,0.431,276.2,0.25,0.61,410,0.18,2313,0.2,130306,--------,-------,847,27237,300,448.9,479.4,30.5,0.064,153.2,0.09,0.154,429,0.822,18083,0.023,18084,--------,-------,15292,15358,65.4
85,15,Porites,POC_31,Papagayo,25,20260217.02,2/17/2026,38433,539.3,-0.3,22.8,16.8,180.7,301.4,120.8,0.401,268.3,0.27,0.57,378,0.21,1812,0.22,111755,--------,-------,768,24679,400,320,342.2,22.2,0.065,159.6,0.27,0.163,418,0.825,20683,0.012,31415,--------,-------,17350,17518,57.6
86,16,Poccilopora,POC_23,Papagayo,25,20260217.02,2/17/2026,38494,415.4,-0.2,22.9,16.76,134.5,232.9,98.4,0.423,248.6,0.29,0.58,450,0.17,2506,0.24,113991,--------,-------,923,28494,600,232.2,252.9,20.8,0.082,156.1,0.33,0.176,682,0.812,19131,0.012,19235,--------,-------,15843,15884,63.1
87,17,Poccilopora,POC_29,Papagayo,25,20260217.02,2/17/2026,38540,900,-0.3,22.9,16.74,132.4,227.1,94.7,0.417,238.5,0.33,0.57,390,0.21,2245,0.23,139396,--------,-------,888,32239,600,273.6,291.3,17.7,0.061,172.2,0.23,0.791,29,0.197,16139,0.012,48640,--------,-------,3240,3798,308.6
88,18,Poccilopora,POC_21,Papagayo,25,20260217.02,2/17/2026,38577,630,-0.3,22.9,16.75,110.5,174.8,64.3,0.368,222.5,0.35,0.58,483,0.1,2873,0.32,120580,--------,-------,841,38751,700,186,197.3,11.3,0.057,148.1,0.14,0.112,744,0.016,18120,0.872,18142,--------,-------,16164,16196,61.9
