MiniDOT Logger Concatenated Data File
Sensor:             7530-479402
Concatenation Date: 2026Feb10 14:52:20 CST


            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1719877080,           2024-07-01 23:38:00,           2024-07-01 17:38:00,      3.520000,     27.984000,     -0.000000,     1201.000000,      -45.000000,      372.000000
                1719877680,           2024-07-01 23:48:00,           2024-07-01 17:48:00,      3.520000,     27.951000,     -0.200000,     1198.000000,        3.000000,      378.000000
                1719878280,           2024-07-01 23:58:00,           2024-07-01 17:58:00,      3.520000,     27.935000,     -0.100000,     1238.000000,      -48.000000,      207.000000
                1719878880,           2024-07-02 00:08:00,           2024-07-01 18:08:00,      3.520000,     27.935000,     -0.000000,     1200.000000,        0.000000,      384.000000
                1719879480,           2024-07-02 00:18:00,           2024-07-01 18:18:00,      3.520000,     27.918000,     -0.000000,     1206.000000,       -8.000000,      376.000000
                1719880080,           2024-07-02 00:28:00,           2024-07-01 18:28:00,      3.520000,     27.894000,     -0.100000,     1206.000000,      -29.000000,      390.000000
                1719880680,           2024-07-02 00:38:00,           2024-07-01 18:38:00,      3.520000,     27.861000,     -0.100000,     1203.000000,      -68.000000,      384.000000
                1719881280,           2024-07-02 00:48:00,           2024-07-01 18:48:00,      3.520000,     27.853000,      0.100000,     1203.000000,      -32.000000,      404.000000
                1719881880,           2024-07-02 00:58:00,           2024-07-01 18:58:00,      3.520000,     27.836000,     -0.000000,     1208.000000,      -40.000000,      368.000000
                1719882480,           2024-07-02 01:08:00,           2024-07-01 19:08:00,      3.520000,     27.795000,     -0.100000,     1206.000000,      -45.000000,      371.000000
                1719883080,           2024-07-02 01:18:00,           2024-07-01 19:18:00,      3.520000,     27.779000,      0.100000,     1203.000000,      -42.000000,      390.000000
                1719883680,           2024-07-02 01:28:00,           2024-07-01 19:28:00,      3.520000,     27.779000,     -0.000000,     1203.000000,      -32.000000,      380.000000
                1719884280,           2024-07-02 01:38:00,           2024-07-01 19:38:00,      3.520000,     27.770000,      0.000000,     1203.000000,      -26.000000,      369.000000
                1719884880,           2024-07-02 01:48:00,           2024-07-01 19:48:00,      3.520000,     27.770000,     -0.100000,     1203.000000,        0.000000,      392.000000
                1719885480,           2024-07-02 01:58:00,           2024-07-01 19:58:00,      3.520000,     27.754000,     -0.100000,     1203.000000,      -32.000000,      372.000000
                1719886080,           2024-07-02 02:08:00,           2024-07-01 20:08:00,      3.520000,     27.754000,     -0.100000,     1203.000000,      -40.000000,      358.000000
                1719886680,           2024-07-02 02:18:00,           2024-07-01 20:18:00,      3.520000,     27.754000,     -0.000000,     1201.000000,        0.000000,      376.000000
                1719887280,           2024-07-02 02:28:00,           2024-07-01 20:28:00,      3.520000,     27.737000,      0.000000,     1203.000000,      -50.000000,      371.000000
                1719887880,           2024-07-02 02:38:00,           2024-07-01 20:38:00,      3.520000,     27.729000,      0.300000,     1208.000000,      -56.000000,      348.000000
                1719888480,           2024-07-02 02:48:00,           2024-07-01 20:48:00,      3.520000,     27.721000,      1.300000,     1204.000000,      -26.000000,      356.000000
                1719889080,           2024-07-02 02:58:00,           2024-07-01 20:58:00,      3.520000,     27.704000,      2.800000,     1208.000000,       -4.000000,      371.000000
                1719889680,           2024-07-02 03:08:00,           2024-07-01 21:08:00,      3.520000,     27.704000,      5.000000,     1206.000000,      -32.000000,      356.000000
                1719890280,           2024-07-02 03:18:00,           2024-07-01 21:18:00,      3.520000,     27.713000,      6.200000,     1240.000000,      -20.000000,      223.000000
                1719890880,           2024-07-02 03:28:00,           2024-07-01 21:28:00,      3.520000,     27.721000,      9.300000,     1208.000000,      -48.000000,      360.000000
                1719891480,           2024-07-02 03:38:00,           2024-07-01 21:38:00,      3.520000,     27.737000,      9.900000,     1208.000000,      -40.000000,      371.000000
                1719892080,           2024-07-02 03:48:00,           2024-07-01 21:48:00,      3.520000,     27.754000,     10.700000,     1204.000000,      -39.000000,      376.000000
                1719892680,           2024-07-02 03:58:00,           2024-07-01 21:58:00,      3.520000,     27.762000,     23.900000,     1208.000000,      -24.000000,      372.000000
                1719893280,           2024-07-02 04:08:00,           2024-07-01 22:08:00,      3.520000,     27.787000,     19.800000,     1240.000000,      -40.000000,      224.000000
                1719893880,           2024-07-02 04:18:00,           2024-07-01 22:18:00,      3.520000,     27.762000,     29.300000,     1240.000000,      -28.000000,      199.000000
                1719894480,           2024-07-02 04:28:00,           2024-07-01 22:28:00,      3.520000,     27.746000,     29.800000,     1206.000000,      -32.000000,      358.000000
                1719895080,           2024-07-02 04:38:00,           2024-07-01 22:38:00,      3.520000,     27.779000,     59.700000,     1240.000000,      -16.000000,      200.000000
                1719895680,           2024-07-02 04:48:00,           2024-07-01 22:48:00,      3.520000,     27.811000,     54.200000,     1206.000000,      -58.000000,      364.000000
                1719896280,           2024-07-02 04:58:00,           2024-07-01 22:58:00,      3.520000,     27.844000,     26.100000,     1207.000000,      -44.000000,      368.000000
                1719896880,           2024-07-02 05:08:00,           2024-07-01 23:08:00,      3.520000,     27.877000,     72.300000,     1238.000000,      -26.000000,      224.000000
